                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9403,                 3.4497,                 1.9394,                0.00361,                      1,                0.30077,                0.12762,                 2.2906,                 3.5147,                 2.1184,                      0,                      0,                      0
                      2,                 2.1586,                 3.6503,                 2.1814,                0.00362,                      1,                0.47625,                0.19792,                 2.2963,                  3.495,                 2.1252,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 1.7117,                 3.3384,                  1.897,                0.00362,                      1,                0.56375,                 0.2264,                  2.296,                 3.4854,                 2.1303,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                 1.8754,                 3.5168,                 1.9812,                0.00361,                      1,                  0.567,                0.23099,                 2.2849,                 3.5032,                 2.1259,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                 1.8157,                 3.3779,                 1.9384,                0.00356,                      1,                0.58437,                0.23877,                 2.2758,                 3.5038,                 2.1044,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                 1.6961,                  3.404,                 1.8301,                0.00361,                      1,                0.55667,                0.33353,                  1.669,                 3.4007,                 1.7978,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                  1.521,                 3.2403,                 1.8284,                0.00359,                      1,                0.56049,                0.33595,                 1.6621,                 3.4094,                 1.8111,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                 1.8437,                 3.6588,                 1.9263,                0.00358,                      1,                0.58795,                 0.3508,                 1.5011,                 3.3675,                  1.721,              0.0001086,              0.0001086,              0.0001086
                      9,                 1.4177,                 3.2761,                 1.7647,                0.00356,                      1,                0.91167,                0.42519,                 1.3409,                 3.3768,                 1.6283,              0.0001228,              0.0001228,              0.0001228
                     10,                 1.3618,                 2.9689,                 1.4732,                0.00356,                      1,                  0.845,                0.46671,                   1.21,                 3.3203,                 1.5794,             0.00013666,             0.00013666,             0.00013666
                     11,                 1.3533,                 2.8541,                 1.4798,                0.00358,                      1,                0.91167,                0.51629,                 1.1701,                 3.3296,                 1.5309,              0.0001502,              0.0001502,              0.0001502
